ID,School,Common Name,Nickname,City,State,Type,Subdivision,Primary Conference,Tournament appearances,Final Four appearances,Championship wins
124,Mercer University,Mercer,Bears,Macon,GA,Private,FCS,Southern Conference,3,0,0
125,Merrimack College,Merrimack,Warriors,North Andover,MA,Private,FCS,Northeast Conference,0,0,0
126,Miami University,Miami (Ohio),RedHawks,Oxford,OH,Public,FBS,Mid-American Conference,17,0,0
127,Michigan State University,Michigan State,Spartans,East Lansing,MI,Public,FBS,Big Ten Conference,36,10,2
128,Middle Tennessee State University,Middle Tennessee,Blue Raiders,Murfreesboro,TN,Public,FBS,Conference USA,9,0,0
129,Mississippi State University for Agriculture and Applied Science,Mississippi State,Bulldogs,Mississippi State,MS,Public,FBS,Southeastern Conference,12,1,0
130,Mississippi Valley State University,Mississippi Valley State,Delta Devils,Itta Bena,MS,Public,FCS,Southwestern Athletic Conference,5,0,0
131,Missouri State University,Missouri State,Bears,Springfield,MO,Public,FCS,Missouri Valley Conference,6,0,0
132,Monmouth University,Monmouth,Hawks,West Long Branch,NJ,Private,FCS,Coastal Athletic Association,4,0,0
133,Montana State University,Montana State,Bobcats,Bozeman,MT,Public,FCS,Big Sky Conference,5,0,0
134,Morehead State University,Morehead State,Eagles,Morehead,KY,Public,FCS,Ohio Valley Conference,8,0,0
135,Morgan State University,Morgan State,Bears,Baltimore,MD,Public,FCS,Mid-Eastern Athletic Conference,2,0,0
136,Mount Saint Mary's University,Mount St. Mary's,Mountaineers,Emmitsburg,MD,Private,Non-football,Metro Atlantic Athletic Conference,6,0,0
137,Murray State University,Murray State,Racers,Murray,KY,Public,FCS,Missouri Valley Conference,18,0,0
138,New Jersey Institute of Technology,NJIT,Highlanders,Newark,NJ,Public,Non-football,America East Conference,0,0,0
139,New Mexico State University,New Mexico State,Aggies,Las Cruces,NM,Public,FBS,Conference USA,26,1,0
140,Niagara University,Niagara,Purple Eagles,Niagara University,NY,Private,Non-football,Metro Atlantic Athletic Conference,3,0,0
141,Nicholls State University,Nicholls,Colonels,Thibodaux,LA,Public,FCS,Southland Conference,2,0,0
142,Norfolk State University,Norfolk State,Spartans,Norfolk,VA,Public,FCS,Mid-Eastern Athletic Conference,3,0,0
143,North Carolina Agricultural and Technical State University,North Carolina A&T,Aggies,Greensboro,NC,Public,FCS,Coastal Athletic Association,10,0,0
144,North Carolina Central University,North Carolina Central,Eagles,Durham,NC,Public,FCS,Mid-Eastern Athletic Conference,4,0,0
145,North Carolina State University,NC State,Wolfpack,Raleigh,NC,Public,FBS,Atlantic Coast Conference,28,3,2
146,North Dakota State University of Agriculture and Applied Sciences,North Dakota State,Bison,Fargo,ND,Public,FCS,Summit League,4,0,0
147,Northeastern University,Northeastern,Huskies,Boston,MA,Private,Non-football,Coastal Athletic Association,9,0,0
148,Northern Arizona University,Northern Arizona,Lumberjacks,Flagstaff,AZ,Public,FCS,Big Sky Conference,2,0,0
149,Northern Illinois University,Northern Illinois,Huskies,DeKalb,IL,Public,FBS,Mid-American Conference,3,0,0
150,Northern Kentucky University,Northern Kentucky,Norse,Highland Heights,KY,Public,Non-football,Horizon League,3,0,0
151,Northwestern State University of Louisiana,Northwestern State,Demons,Natchitoches,LA,Public,FCS,Southland Conference,3,0,0
152,Northwestern University,Northwestern,Wildcats,Evanston,IL,Private,FBS,Big Ten Conference,2,0,0
153,Oakland University,Oakland,Golden Grizzlies,Rochester,MI,Public,Non-football,Horizon League,3,0,0
154,Oklahoma State University–Stillwater,Oklahoma State,Cowboys,Stillwater,OK,Public,FBS,Big 12 Conference,29,6,2
155,Old Dominion University,Old Dominion,Monarchs,Norfolk,VA,Public,FBS,Sun Belt Conference,12,0,0
156,Oral Roberts University,Oral Roberts,Golden Eagles,Tulsa,OK,Private,Non-football,Summit League,7,0,0
157,Oregon State University,Oregon State,Beavers,Corvallis,OR,Public,FBS,Pac-12 Conference,18,2,0
158,Pepperdine University,Pepperdine,Waves,Malibu,CA,Private,Non-football,West Coast Conference,13,0,0
